id,title,category,scenario,script,tip,source_url
107,ต่อยอดจากสิ่งที่เขาทำอยู่แล้ว,นำเสนอ/ปิดการขาย,ใช้ตอนเขามีระบบเดิม,"ของพี่ทำไว้ดีแล้ว เราเลยจะเข้าไปช่วยต่อจุด…","ไม่ทำให้เขารู้สึกโดนวิจารณ์",
108,ปัดข้อจำกัดไปท้ายคุย,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนมีเงื่อนไข,"เรื่องสัญญาผมขอไว้ท้ายสุดนะครับ เดี๋ยวเล่าหลักการก่อน","กันไม่ให้เขาติดตั้งแต่แรก",
109,เปิดประเด็นจากข่าวหรือเทรนด์,เปิดบทสนทนา,ใช้ตอนเริ่มยาก,"ช่วงนี้หลายธุรกิจหันมาใช้ระบบนี้กันเยอะ เลยอยากชวนพี่ดูด้วย","อ้างอิงเทรนด์ช่วยเริ่มคุยได้",
110,ใช้คำว่าเราร่วมกัน,ติดตามงาน,ใช้กับคนในองค์กร,"เดี๋ยวผมร่างไว้ก่อน แล้วเรามาเช็กด้วยกันนะครับ","ทำให้รู้สึกไม่โดนสั่ง",
111,อธิบายด้วยแผนที่ความคิด,นำเสนอ/ปิดการขาย,ใช้ตอนเรื่องซับซ้อน,"โครงนี้เราคิดเป็น 3 กิ่งครับ ผมวาดให้ดูเลย","ภาพช่วยให้เข้าใจเร็ว",
112,ย้ำความปลอดภัย,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขากลัวเรื่องข้อมูล,"ข้อมูลจะอยู่ในสิทธิ์ขององค์กรพี่เท่านั้นครับ","ลดความกลัวเรื่อง data",
113,ใช้ประโยค “ลองคิดแบบนี้”,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขายึดมุมเดิม,"ลองคิดแบบนี้นะครับ ถ้าเราย่นเวลาส่งงานได้ 1 วัน…","ชวนคิดไม่ใช่บังคับคิด",
114,ถามก่อนว่าเคยใช้ของไหน,เปิดบทสนทนา,ใช้ตอนเสนอระบบ,"ตอนนี้ใช้เจ้าไหนอยู่ครับ จะได้เทียบให้เห็นภาพ","รู้พื้นฐานก่อนเสนอ",
115,ปิดการคุยด้วย to-do,ติดตามงาน,ใช้ตอนคุยจบ,"สรุปผมทำข้อ 1-2 แล้วพี่ช่วยคอนเฟิร์มข้อ 3 นะครับ","ทุกคนรู้หน้าที่ตัวเอง",
116,ส่งลิงก์ช่วยจำ,ติดตามงาน,ใช้ตอนเขายุ่ง,"ผมส่งลิงก์ไว้ให้เผื่อเปิดดูย้อนหลังได้ครับ","ลดภาระจำของเขา",
117,ชมการทำงานเป็นทีม,นำเสนอ/ปิดการขาย,ใช้ตอนมีหลายคน,"เห็นเลยว่าทีมพี่ประสานงานกันดีมากครับ เลยจะยิ่งใช้ของเราได้เร็ว","ชมห้องรวม",
118,พูดให้เห็นภาพอนาคต,นำเสนอ/ปิดการขาย,ใช้ตอนอยากให้ตัดสินใจ,"อีก 3 เดือนทีมพี่จะไม่ได้เจอปัญหานี้แล้วครับ ถ้าเริ่มวันนี้","ภาพอนาคตช่วยดึงไปข้างหน้า",
119,เทคนิค “แล้วถ้า”,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขากลัว,"แล้วถ้าเราเริ่มจากทีมเล็กก่อน พี่จะโอเคขึ้นไหมครับ","ใส่เงื่อนไขเบาๆ ให้เขาตอบรับง่าย",
120,ใช้เสียงเงียบ 1 วิ,เทคนิคทั่วไป,ใช้ตอนเน้น,"…ประเด็นนี้สำคัญมากครับ","ความเงียบทำให้คำถัดไปดังขึ้น",
121,ถามว่าใครจะเป็นคนใช้จริง,นำเสนอ/ปิดการขาย,ใช้ตอนขายระบบ,"ระบบนี้คนใช้จริงจะเป็นฝ่ายไหนครับ ผมจะได้อธิบายให้ตรง","จับ user ให้เจอ",
122,เสนอ workshop ให้,ติดตามงาน,ใช้ตอนเขายังไม่มั่นใจ,"งั้นเดี๋ยวผมจัดเวิร์กช็อปให้ทีมพี่ทดลองใช้เลยก็ได้ครับ","ให้ประสบการณ์ตรง",
123,ตั้งเป้าร่วมระหว่างคุย,เปิดบทสนทนา,ใช้ตอนคุยปัญหา,"งั้นเราตั้งเป้าว่าวันนี้ต้องได้วิธีแก้อย่างน้อย 1 วิธีนะครับ","กรอบทำให้คุยไม่หลุด",
124,เทคนิค “จริงๆ แล้วมันง่าย”,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขาบอกว่ายุ่งยาก,"จริงๆ แล้วมันง่ายครับ มีแค่ 3 ขั้นตอน ผมไล่ให้ดู","เบรกความยากในหัวเขา",
125,ขอเวลานำเสนอเพิ่ม,นำเสนอ/ปิดการขาย,ใช้ตอนเขาจะตัดบท,"ขอเพิ่มอีกนิดเดียวครับ ส่วนนี้จะเป็นตัวที่ทำให้คุ้มขึ้น","ขอพื้นที่เพื่อขายส่วนสำคัญ",
126,บอกว่าเทียบมาแล้ว,นำเสนอ/ปิดการขาย,ใช้ตอนเขาเทียบเจ้าอื่น,"เราลองเทียบ 3 เจ้าแล้ว จุดที่เราดีกว่าคือ…","แสดงว่าเราไม่ได้มโนเอง",
127,ใช้คำว่า “สั้นๆ”,เปิดบทสนทนา,ใช้ตอนอีกฝ่ายรีบ,"ผมอธิบายสั้นๆ แบบไม่เทคนิคนะครับ","ทำให้เขายอมฟัง",
128,ถามว่าใครเป็นผู้อนุมัติสุดท้าย,ติดตามงาน,ใช้ตอนเรื่องไม่เดิน,"เคสนี้ต้องผ่าน CFO ไหมครับ จะได้เตรียมไฟล์ไว้ให้","กันตกหล่นตอนอนุมัติ",
129,เสริมด้วยตัวอย่างในไทย,นำเสนอ/ปิดการขาย,ใช้ตอนลูกค้าไทย,"ลูกค้าคนไทยที่ใช้เราอยู่ เช่น…","ใกล้ตัวเลยเชื่อเร็ว",
130,เสนอทำเอกสารให้เซ็น,ติดตามงาน,ใช้ตอนเขาไม่มีเวลา,"เดี๋ยวผมร่างเอกสารให้เลยครับ พี่แค่เช็กกับเซ็น","ลดงานอีกฝ่าย",
131,ใช้คำว่า “โอกาส”,นำเสนอ/ปิดการขาย,ใช้ตอนขายไอเดีย,"อันนี้เป็นโอกาสดีมากที่ทีมพี่จะ…","คำบวกดึงความสนใจ",
132,ย้ำว่าเรารองรับโตในอนาคต,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขากลัวโตแล้วใช้ไม่ได้,"โตเป็นสิบทีมก็รองรับได้ครับ เพราะเราออกแบบไว้แล้ว","กันการปฏิเสธล่วงหน้า",
133,ถามความคาดหวัง,เปิดบทสนทนา,ใช้ตอนเริ่มโปรเจกต์,"รอบนี้พี่คาดหวังผลลัพธ์แบบไหนไว้บ้างครับ","จะได้วัดว่าตรงไหม",
134,เทคนิค “ให้ผมลองจัดให้ดูนะครับ”,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขาไม่กล้าตัดสินใจ,"งั้นให้ผมจัดตัวอย่างให้ดูก่อนนะครับ แล้วค่อยตัดสินใจ","ลดความเสี่ยงให้เขา",
135,บอกว่าเรามีทีม support,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนกลัวใช้ไม่เป็น,"มีทีมดูแลหลังบ้านให้ตลอดครับ","สร้างความสบายใจ",
136,อธิบายด้วยไทม์ไลน์,นำเสนอ/ปิดการขาย,ใช้ตอนอยากให้เห็นลำดับ,"สัปดาห์แรกเราทำ A สัปดาห์สองทำ B แล้วปลายเดือนใช้ได้เลย","ภาพเวลาเข้าใจง่าย",
137,เลี่ยงคำว่า “ต้อง”,เทคนิคทั่วไป,ใช้ทุกสถานการณ์,"เราลองทำแบบนี้ดูก่อนไหมครับ","ฟังไม่แข็ง",
138,พูดว่าพี่ทำถูกแล้ว,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขาสงสัย,"จริงๆ ที่พี่ทำอยู่ก็ดีแล้วครับ ผมมีอีกวิธีที่ทำให้เร็วขึ้นเฉยๆ","ยืนยันก่อนเสนอเพิ่ม",
139,ใช้คำว่า “ขออัปเดต”,ติดตามงาน,ใช้ตอนส่งซ้ำ,"ขออัปเดตประเด็นเมื่อวานนี้ครับ…","สุภาพกว่า “ตามเรื่อง”",
140,ชวนสรุปร่วมกัน,ติดตามงาน,ใช้ตอนหลายฝ่าย,"เดี๋ยวเราสรุปเป็น 1 หน้า แล้วส่งให้ทุกคนเห็นเหมือนกันนะครับ","กันหลงประเด็น",
141,ขออัดวิดีโอสั้นๆ ส่งให้,ติดตามงาน,ใช้ตอนอธิบายยาก,"ผมอัดวิดีโอสั้นๆ ไว้ให้ดูนะครับ ไม่ถึงนาที","บางคนชอบดูมากกว่าอ่าน",
142,เทคนิค “เคสนี้เจอบ่อย”,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขากังวล,"เคสนี้ลูกค้าหลายคนก็เจอครับ วิธีแก้คือ…","ทำให้เขาไม่รู้สึกแปลก",
143,บอกว่าราคายืดหยุ่นได้,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนติดงบ,"งบนี้เราปรับรูปแบบให้เข้ากันได้ครับ","ปิดประตูปฏิเสธเรื่องราคา",
144,ตั้งชื่อโปรเจกต์ให้เท่,นำเสนอ/ปิดการขาย,ใช้ตอนขายไอเดียในองค์กร,"เราเรียกโปรเจกต์นี้ว่า ‘Smart Ops 2026’ ครับ","ชื่อเท่ทำให้คนจำ",
145,ใช้คำว่า “เล่าให้ฟังเร็วๆ”,เปิดบทสนทนา,ใช้ตอนคนฟังไม่รู้เรื่องเลย,"เดี๋ยวผมเล่าให้ฟังเร็วๆ ว่ามันทำอะไรได้บ้าง","ลดระยะห่างความรู้",
146,ถามว่าเคยเจอปัญหาแบบนี้ไหม,เปิดบทสนทนา,ใช้ตอนขาย solution,"เคยเจอไหมครับที่ระบบเก่ามันโหลดช้าแล้วทีมบ่น","ดึงให้เขายอมรับปัญหา",
147,เตือนล่วงหน้าว่ามีศัพท์,นำเสนอ/ปิดการขาย,ใช้ตอนต้องใช้คำเทคนิค,"ส่วนนี้มีศัพท์เทคนิคหน่อย ผมจะอธิบายทีละคำครับ","กันเขาหลุดตอนฟัง",
148,ให้เลือกวิธีรับข้อมูล,ติดตามงาน,ใช้ตอนส่งของ,"จะเอาเป็นไฟล์ excel หรือ pdf ดีครับ","คนละแบบคนละสไตล์",
149,อ้างอิงหน้าที่เขา,นำเสนอ/ปิดการขาย,ใช้ตอนคุยกับหัวหน้า,"ในมุมคนดูแลงานทั้งหมดแบบพี่ อันนี้จะช่วยเซฟเวลามาก","พูดให้ตรงบทบาท",
150,ปิดช่วงแรกด้วยคำถาม,นำเสนอ/ปิดการขาย,ใช้ตอนเล่าจบเซกชัน,"ถึงตรงนี้มีข้อสงสัยไหมครับ จะได้ตอบก่อน","กันคำถามมารวมท้ายเดียว",
151,ขอสิทธิ์ลองใน sandbox,ติดตามงาน,ใช้ตอนระบบจริงแตะยาก,"ถ้ายังเข้าระบบจริงไม่ได้ เดี๋ยวผมลองใน sandbox ให้ดูก่อนได้ครับ","ลดความกังวลด้านระบบ",
152,ใช้คำว่า “เราจะดูให้ทั้งหมด”,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขากลัวงานเยอะ,"ส่วนเชื่อมต่อเดี๋ยวทีมเราดูให้ทั้งหมดครับ","ทำให้เขาไม่รู้สึกแบก",
153,เสนอทำ cheat sheet,ติดตามงาน,ใช้ตอนทีมเขาใหม่,"เดี๋ยวผมทำ cheat sheet ให้ทีมไว้ดูเวลาใช้งานครับ","ของสั้นๆ ใช้ง่าย",
154,บอกว่ามี roadmap,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนฟีเจอร์ยังไม่มา,"ฟีเจอร์นี้อยู่ใน roadmap ไตรมาสหน้าแล้วครับ","แสดงว่ามีแผน ไม่ได้เมิน",
155,ย้ำว่าเริ่มเล็กได้,นำเสนอ/ปิดการขาย,ใช้ตอนเขากลัวลงแรงมาก,"เริ่มเล็กๆ ก่อนก็ได้ครับ ไม่ต้องโยกทั้งระบบ","เบากว่าเริ่มใหญ่",
156,ใช้กฎ 1 นาทีแรก,เปิดบทสนทนา,ใช้ตอนคอล,"1 นาทีแรกผมจะเล่าให้ครบเลยครับ แล้วค่อยลงลึก","บอกก่อนทำให้เขาโฟกัส",
157,เทคนิค “ผมลองมองแบบนี้”,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนคิดต่าง,"ผมลองมองแบบนี้นะครับ …","นุ่มกว่าคำว่า “จริงๆ ต้อง…”",
158,ส่งตัวเลขยืนยันภายหลัง,ติดตามงาน,ใช้ตอนยังไม่มีข้อมูล,"ตัวเลขผมยังดึงไม่ครบ เดี๋ยวผมส่งตามให้บ่ายนี้ครับ","ไม่ให้คุยสะดุด",
159,ถามว่าอยากฟังลึกแค่ไหน,นำเสนอ/ปิดการขาย,ใช้ตอนคนฟังต่างระดับ,"อยากให้ผมเล่าเชิงเทคนิคด้วยไหมครับ หรือเอาภาพรวมพอ","คุมความยาวได้",
160,ใช้คำว่า “อัปเดตสั้นๆ”,ติดตามงาน,ใช้ตอนเขายุ่ง,"ผมขออัปเดตสั้นๆ 2 เรื่องครับ","เบากว่า “มีเรื่องให้ทำ”",
161,เล่าความเสี่ยงที่เราแก้ให้,นำเสนอ/ปิดการขาย,ใช้ตอนองค์กรใหญ่,"เราจะช่วยลดความเสี่ยงเรื่องข้อมูลกระจายครับ","องค์กรใหญ่ชอบเรื่อง risk",
162,อธิบายด้วยกรณี best/worst,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขากลัวสุดโต่ง,"กรณีดีที่สุดจะเป็นแบบนี้ กรณีแย่สุดเรายังเซฟได้ที่…","ทำให้เขาเห็นขอบเขต",
163,พูดถึงงานที่เราเคยทำคล้ายกัน,นำเสนอ/ปิดการขาย,ใช้ตอนเขายังไม่มั่นใจ,"เราเคยทำให้บริษัทในกลุ่มเดียวกับพี่แล้วครับ","ผลงานเก่าช่วยสร้างเครดิต",
164,ย้ำว่าคุยได้ตลอด,ติดตามงาน,ใช้ตอนจบคุย,"ถ้ามีอะไรเพิ่มทักผมได้ตลอดเลยครับ","ให้ช่องทางไม่ให้เรื่องค้าง",
165,ใช้คำว่า “ง่ายกว่าเดิมเยอะ”,นำเสนอ/ปิดการขาย,ใช้ตอนขายปรับปรุงระบบ,"วิธีใหม่จะง่ายกว่าเดิมเยอะเลยครับ","คำนี้ทำให้เขาอยากลอง",
166,เตือนสิ่งที่ต้องเตรียม,ติดตามงาน,ใช้ตอนใกล้เริ่ม,"พรุ่งนี้ถ้าพี่เตรียมไฟล์รายชื่อมา เราจะเริ่มได้เลย","ช่วยเขาจำ",
167,ถามว่าใครใช้งานต่อ,ติดตามงาน,ใช้ตอนจะส่งมอบ,"เดี๋ยวงานนี้จะวิ่งไปอยู่ที่ใครต่อครับ ผมจะได้อธิบายให้เขาด้วย","กันหล่นกลางทาง",
168,ใช้คำว่า “เผื่อพี่ตัดสินใจง่ายขึ้น”,นำเสนอ/ปิดการขาย,ใช้ตอนยื่นตัวเลือก,"ผมทำมา 2 แบบเผื่อพี่ตัดสินใจง่ายขึ้นครับ","แสดงความตั้งใจช่วย",
169,เสนอทำ version ภาษาไทย,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนคนใช้ไม่เก่งอังกฤษ,"ส่วนคู่มือเดี๋ยวผมจัดเวอร์ชันไทยให้ครับ","ลดอุปสรรคผู้ใช้",
170,ย้ำว่าระบบไม่ผูกมัด,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขากลัวติดสัญญา,"เริ่มแบบไม่ผูกมัดยาวก็ได้ครับ","ทำให้กล้าลอง",
171,ถามว่าทีมเจอ pain point ไหนสุด,เปิดบทสนทนา,ใช้ตอนเข้าองค์กร,"ตอนนี้ทีมเจอจุดไหนเหนื่อยสุดครับ","จะได้พูดให้โดน",
172,ใช้กราฟิกอธิบาย,นำเสนอ/ปิดการขาย,ใช้ตอนเจอหลายแผนก,"ผมมีภาพ flow ให้ดูครับ จะได้เห็นว่ามันวิ่งยังไง","ภาพรวมใน 10 วินาที",
173,ย้ำว่าเราช่วยคิดให้,ติดตามงาน,ใช้ตอนเขาไม่เก่งเทคนิค,"ส่วนออกแบบเดี๋ยวทีมผมคิดให้ครับ พี่แค่บอก requirement","ย้ายงานหนักมาที่เรา",
174,บอกว่าใช้เวลาฝึกไม่นาน,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขากลัวเรียนรู้,"ทีมใช้งานเป็นภายใน 1-2 ชั่วโมงครับ","ลดความกลัวเรียนรู้",
175,ปิดด้วยคำว่า “โอเคไหมครับ”,นำเสนอ/ปิดการขาย,ใช้ตอนเล่าจบ,"ถึงตรงนี้โอเคไหมครับ","เปิดช่องให้ถาม",
176,ขอให้เขาอธิบายต่อในที่ประชุม,เปิดบทสนทนา,ใช้ตอนมีผู้เกี่ยวข้องหลายคน,"เดี๋ยวช่วงนี้ให้พี่เล่าในมุมงานหน่อยนะครับ","ให้ห้องมีส่วนร่วม",
177,ถามว่าต้องรายงานใคร,ติดตามงาน,ใช้ตอนต้องทำเอกสาร,"ต้องรายงานผู้บริหารท่านไหนไหมครับ ผมจะได้จัดฟอร์แมตให้ตรง","กันแก้หลายรอบ",
178,เทคนิค “ให้ตัวเลือกดี-ดีกว่า”,นำเสนอ/ปิดการขาย,ใช้ตอนขายแพ็ก,"แพ็กมาตรฐานได้ A B C ถ้าเพิ่มอีกนิดได้รายงานสดด้วยครับ","ทั้งคู่คือทางเลือกดี",
179,ย้ำว่ามี training ให้,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขากลัวคนใช้ไม่เป็น,"มี session training ให้ทีมพี่เลยครับ","ลดการปฏิเสธแบบ “คนไม่พร้อม”",
180,ใช้คำว่า “ปลอดภัยกว่าเดิม”,นำเสนอ/ปิดการขาย,ใช้ตอนขายระบบหลังบ้าน,"วิธีนี้ปลอดภัยกว่าเดิม เพราะ log ทุกอย่างไว้","คำว่าปลอดภัยขายง่าย",
181,สรุปด้วย bullet,ติดตามงาน,ใช้ตอนส่งแชท,"สรุปสั้นๆ
- ส่งไฟล์
- พี่คอนเฟิร์ม
- เราติดตั้ง","อ่านง่ายกว่าเป็นพารากราฟ",
182,อ้างอิง KPI,นำเสนอ/ปิดการขาย,ใช้ตอนเขายึดตัวเลข,"ตัวนี้จะช่วยให้ KPI ด้านเวลา/คุณภาพดีขึ้นครับ","พูดภาษาที่เขาถูกวัด",
183,ถามว่าอยากเริ่มเมื่อไหร่,ติดตามงาน,ใช้ตอนเรื่องยืด,"พี่อยากเริ่มประมาณเดือนไหนครับ ผมจะได้วาง timeline ให้","ดึงให้เขา commit เวลา",
184,ใช้คำว่า “ลองเทสกับเคสจริง”,นำเสนอ/ปิดการขาย,ใช้ตอนเขายังไม่เชื่อ,"เดี๋ยวลองเทสกับเคสจริงของพี่เลยก็ได้ครับ","ของเขาเองน่าเชื่อสุด",
185,บอกว่าเราดูแล rollout ให้,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนองค์กรใหญ่,"ตอนปล่อยให้ทุกสาขา เดี๋ยวทีมเราดูให้ครับ","เขาจะไม่รู้สึกหนัก",
186,ชวนคุยเรื่องงบแบบเปิด,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนติดราคา,"งบประมาณที่พี่ตั้งไว้ประมาณเท่าไหร่ครับ ผมจะได้จัดให้พอดี","ให้เขาพูดตัวเลขก่อน",
187,เทคนิค “ผมเข้าใจที่พี่กลัวเลย”,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขาพูดแรง,"ผมเข้าใจที่พี่กลัวเลยครับ เพราะหลายทีมก็กลัวจุดนี้","ลดอารมณ์ก่อนเสนอ",
188,แยกข้อที่ต้องอนุมัติ,ติดตามงาน,ใช้ตอนเอกสารเยอะ,"ข้อไหนต้องอนุมัติเป็นพิเศษบอกผมได้เลยครับ ผมทำแยกให้","ให้เขาเห็นว่าเราจัดการได้",
189,บอกว่าทดแทนของเดิมได้,นำเสนอ/ปิดการขาย,ใช้ตอนเขาอยากตัดระบบเก่า,"อันนี้ทดแทนของเดิมได้เลยครับ แล้วเพิ่มรายงานให้ด้วย","ขายแทนที่ + เพิ่มค่า",
190,ย้ำว่าลดงานซ้ำซ้อน,นำเสนอ/ปิดการขาย,ใช้ตอนขาย workflow,"หลักๆ มันจะลดงานซ้ำๆ ของทีมพี่ครับ","ประโยคที่คนทำงานชอบ",
191,ขอรีวิวหลังใช้งาน,ติดตามงาน,ใช้ตอนเขาเริ่มใช้แล้ว,"ถ้าใช้แล้วโอเค ผมขอ feedback นิดนึงนะครับ จะได้ปรับต่อ","ได้ทั้งข้อมูลและความสัมพันธ์",
192,ใช้คำว่า “เดี๋ยวผมทำให้ดูเลย”,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขาไม่เก็ท,"เดี๋ยวผมทำให้ดูเลยครับ 1 นาทีจบ","การกระทำอธิบายได้ดีกว่าพูด",
193,บอกว่าฝั่งเรา approve แล้ว,ติดตามงาน,ใช้ตอนรอเขา,"ฝั่งผม approve ทั้งหมดแล้ว เหลือแค่ฝั่งพี่คอนเฟิร์มครับ","โยนบอลไปฝั่งเขาแบบสุภาพ",
194,ใช้ตัวอย่างจากอุตสาหกรรมใกล้เคียง,นำเสนอ/ปิดการขาย,ใช้ตอนเขาบอกว่าไม่ตรง,"อุตสาหกรรมใกล้กันอย่าง… ก็ใช้แบบนี้ครับ","ทำให้เขาเห็นว่าใช้ได้",
195,ถามว่าอยากให้เราช่วยส่วนไหนเพิ่ม,ติดตามงาน,ใช้ตอนเขายังเฉย,"มีส่วนไหนอยากให้ผมช่วยเพิ่มไหมครับ","เปิดทางให้เขาพูด pain เพิ่ม",
196,บอกว่าเราติดตามให้เอง,ติดตามงาน,ใช้ตอนหลายฝ่าย,"เดี๋ยวผมตามกับทีมเทคนิคให้เอง แล้วแจ้งพี่อีกทีครับ","เขาไม่ต้องวิ่งหลายที่",
197,เทคนิค “สรุปเป็นภาษาง่ายๆ”,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขางง,"สรุปเป็นภาษาง่ายๆ ก็คือ…","ดึงเขากลับมาที่เรา",
198,ย้ำว่าเรา flexible,ตอบข้อโต้แย้ง/แก้ปัญหา,ใช้ตอนเขากลัวเปลี่ยนแปลง,"ฝั่งเรายืดหยุ่นได้ครับ ถ้าทีมพี่มีวิธีทำอยู่แล้วเราตามให้","คำว่า flexible ทำให้คนกล้าคุย",
199,ปิดด้วย next step และเวลา,ติดตามงาน,ใช้ทุกสถานการณ์,"เดี๋ยวผมส่งไฟล์วันนี้ แล้วพี่เช็กพรุ่งนี้เช้า เราคุยกันบ่ายนะครับ","ทุกอย่างมีเวลา",
200,ชวนทำ version สำหรับผู้บริหาร,นำเสนอ/ปิดการขาย,ใช้ตอนต้องส่งต่อ,"เดี๋ยวผมทำเวอร์ชันย่อ 1 หน้าให้พี่เอาไปเล่าให้ผู้บริหารได้เลยครับ","ช่วยให้ดีลไม่ตกล่าสุด",
